journal_entry_id,posting_date,prepared_by
450,03/04/2024,Ignacio Corral Aragón
451,08/04/2024,Pablo Mayoral
452,08/04/2024,Pablo Mayoral
453,08/04/2024,Pablo Mayoral
454,08/04/2024,Pablo Mayoral
455,08/04/2024,Pablo Mayoral
456,09/04/2024,Pablo Mayoral
457,08/04/2024,Pablo Mayoral
458,08/04/2024,Pablo Mayoral
459,08/04/2024,Pablo Mayoral
460,08/04/2024,Pablo Mayoral
461,09/04/2024,Pablo Mayoral
462,08/04/2024,Pablo Mayoral
463,04/04/2024,Pablo Mayoral
464,04/04/2024,Pablo Mayoral
465,04/04/2024,Pablo Mayoral
466,04/04/2024,Pablo Mayoral
467,03/04/2024,Pablo Mayoral
468,03/04/2024,Pablo Mayoral
469,03/04/2024,Pablo Mayoral
470,04/04/2024,Pablo Mayoral
471,09/04/2024,Pablo Mayoral
472,09/04/2024,Pablo Mayoral
473,09/04/2024,Albert De Moya Palacio
474,09/04/2024,Albert De Moya Palacio
475,04/04/2024,Pablo Mayoral
476,08/04/2024,Joanna Rodriguez Loaiza
477,09/04/2024,Ignacio Corral Aragón
478,09/04/2024,Albert De Moya Palacio
479,09/04/2024,Albert De Moya Palacio
480,09/04/2024,Albert De Moya Palacio
481,09/04/2024,Albert De Moya Palacio
482,09/04/2024,Albert De Moya Palacio
483,09/04/2024,Albert De Moya Palacio
484,09/04/2024,Albert De Moya Palacio
485,04/04/2024,Pablo Mayoral
486,09/04/2024,Albert De Moya Palacio
487,09/04/2024,Albert De Moya Palacio
488,09/04/2024,Albert De Moya Palacio
489,09/04/2024,Albert De Moya Palacio
490,09/04/2024,Albert De Moya Palacio
491,09/04/2024,Albert De Moya Palacio
492,02/04/2024,Pablo Mayoral
493,04/04/2024,Pablo Mayoral
494,01/04/2024,Fernando Gómez
495,04/04/2024,Pablo Mayoral
496,04/04/2024,Pablo Mayoral
497,04/04/2024,Pablo Mayoral
498,04/04/2024,Pablo Mayoral
499,04/04/2024,Pablo Mayoral
500,04/04/2024,Pablo Mayoral
501,09/04/2024,Fernando Gómez
502,04/04/2024,Pablo Mayoral
503,04/04/2024,Pablo Mayoral
504,08/04/2024,Joanna Rodriguez Loaiza
505,04/04/2024,Pablo Mayoral
506,08/04/2024,Joanna Rodriguez Loaiza
507,04/04/2024,Pablo Mayoral
508,04/04/2024,Pablo Mayoral
509,08/04/2024,Joanna Rodriguez Loaiza
510,01/04/2024,Pablo Mayoral
511,02/04/2024,Pablo Mayoral
512,04/04/2024,Pablo Mayoral
513,05/04/2024,Pablo Mayoral
514,04/04/2024,Pablo Mayoral
515,04/04/2024,Rocío Carmona
516,03/04/2024,Pablo Mayoral
517,05/04/2024,Pablo Mayoral
518,05/04/2024,Pablo Mayoral
519,05/04/2024,Pablo Mayoral
520,01/04/2024,Ignacio Corral Aragón
521,05/04/2024,Pablo Mayoral
522,02/04/2024,Pablo Mayoral
523,09/04/2024,Ignacio Corral Aragón
524,08/04/2024,Pablo Mayoral
525,09/04/2024,Rocío Carmona
526,01/04/2024,Pablo Mayoral
527,09/04/2024,Pablo Mayoral
528,09/04/2024,Pablo Mayoral
529,02/04/2024,Pablo Mayoral
530,01/04/2024,Pablo Mayoral
531,08/04/2024,Joanna Rodriguez Loaiza
532,08/04/2024,Joanna Rodriguez Loaiza
533,08/04/2024,Joanna Rodriguez Loaiza
534,09/04/2024,Joanna Rodriguez Loaiza
535,09/04/2024,Joanna Rodriguez Loaiza
536,10/04/2024,Pablo Mayoral
537,09/04/2024,Pablo Mayoral
538,09/04/2024,Pablo Mayoral
539,09/04/2024,Pablo Mayoral
540,09/04/2024,Pablo Mayoral
541,09/04/2024,Pablo Mayoral
542,09/04/2024,Pablo Mayoral
543,09/04/2024,Pablo Mayoral
544,09/04/2024,Pablo Mayoral
545,09/04/2024,Pablo Mayoral
546,09/04/2024,Pablo Mayoral
547,09/04/2024,Pablo Mayoral
548,09/04/2024,Pablo Mayoral
549,01/04/2024,Pablo Mayoral
550,03/04/2024,Ignacio Corral Aragón
551,09/04/2024,Pablo Mayoral
552,01/04/2024,Pablo Mayoral
553,09/04/2024,Pablo Mayoral
554,09/04/2024,Joanna Rodriguez Loaiza
555,09/04/2024,Joanna Rodriguez Loaiza
556,09/04/2024,Joanna Rodriguez Loaiza
557,09/04/2024,Joanna Rodriguez Loaiza
558,09/04/2024,Joanna Rodriguez Loaiza
559,09/04/2024,Joanna Rodriguez Loaiza
560,03/04/2024,Ignacio Corral Aragón
561,10/04/2024,Ignacio Corral Aragón
562,09/04/2024,Joanna Rodriguez Loaiza
563,09/04/2024,Joanna Rodriguez Loaiza
564,09/04/2024,Joanna Rodriguez Loaiza
565,09/04/2024,Ignacio Corral Aragón
566,09/04/2024,Joanna Rodriguez Loaiza
567,09/04/2024,Joanna Rodriguez Loaiza
568,10/04/2024,Ignacio Corral Aragón
569,09/04/2024,Joanna Rodriguez Loaiza
570,02/04/2024,Ignacio Corral Aragón
571,09/04/2024,Joanna Rodriguez Loaiza
572,09/04/2024,Joanna Rodriguez Loaiza
573,02/04/2024,Ignacio Corral Aragón
574,09/04/2024,Joanna Rodriguez Loaiza
575,09/04/2024,Joanna Rodriguez Loaiza
576,10/04/2024,Fernando Gómez
577,09/04/2024,Joanna Rodriguez Loaiza
578,09/04/2024,Pablo Mayoral
579,01/04/2024,Pablo Mayoral
580,01/04/2024,Pablo Mayoral
581,01/04/2024,Pablo Mayoral
582,02/04/2024,Pablo Mayoral
583,04/04/2024,Pablo Mayoral
584,01/04/2024,Pablo Mayoral
585,04/04/2024,Ignacio Corral Aragón
586,05/04/2024,Ignacio Corral Aragón
587,10/04/2024,Albert De Moya Palacio
588,01/04/2024,Pablo Mayoral
589,01/04/2024,Pablo Mayoral
590,04/04/2024,Ignacio Corral Aragón
591,10/04/2024,Ignacio Corral Aragón
592,05/04/2024,Ignacio Corral Aragón
593,10/04/2024,Ignacio Corral Aragón
594,10/04/2024,Pablo Mayoral
595,08/04/2024,Ignacio Corral Aragón
596,10/04/2024,Pablo Mayoral
597,10/04/2024,Pablo Mayoral
598,10/04/2024,Pablo Mayoral
599,10/04/2024,Pablo Mayoral
600,10/04/2024,Pablo Mayoral
601,10/04/2024,Pablo Mayoral
602,10/04/2024,Pablo Mayoral
603,10/04/2024,Pablo Mayoral
604,10/04/2024,Pablo Mayoral
605,10/04/2024,Pablo Mayoral
606,11/04/2024,Pablo Mayoral
607,11/04/2024,Pablo Mayoral
608,11/04/2024,Pablo Mayoral
609,11/04/2024,Pablo Mayoral
610,11/04/2024,Pablo Mayoral
611,11/04/2024,Pablo Mayoral
612,11/04/2024,Pablo Mayoral
613,11/04/2024,Pablo Mayoral
614,11/04/2024,Pablo Mayoral
615,09/04/2024,Pablo Mayoral
616,08/04/2024,Ignacio Corral Aragón
617,05/04/2024,Pablo Mayoral
618,04/04/2024,Pablo Mayoral
619,04/04/2024,Pablo Mayoral
620,03/04/2024,Pablo Mayoral
621,08/04/2024,Pablo Mayoral
622,08/04/2024,Pablo Mayoral
623,09/04/2024,Pablo Mayoral
624,09/04/2024,Pablo Mayoral
625,09/04/2024,Pablo Mayoral
626,05/04/2024,Ignacio Corral Aragón
627,05/04/2024,Ignacio Corral Aragón
628,05/04/2024,Ignacio Corral Aragón
629,05/04/2024,Ignacio Corral Aragón
630,05/04/2024,Ignacio Corral Aragón
631,05/04/2024,Ignacio Corral Aragón
632,05/04/2024,Ignacio Corral Aragón
633,05/04/2024,Ignacio Corral Aragón
634,05/04/2024,Ignacio Corral Aragón
635,05/04/2024,Ignacio Corral Aragón
636,11/04/2024,Joanna Rodriguez Loaiza
637,10/04/2024,Joanna Rodriguez Loaiza
638,10/04/2024,Joanna Rodriguez Loaiza
639,10/04/2024,Joanna Rodriguez Loaiza
640,10/04/2024,Joanna Rodriguez Loaiza
641,01/04/2024,Pablo Mayoral
642,05/04/2024,Pablo Mayoral
643,01/04/2024,Ignacio Corral Aragón
644,05/04/2024,Pablo Mayoral
645,05/04/2024,Pablo Mayoral
646,11/04/2024,Ignacio Corral Aragón
647,11/04/2024,Albert De Moya Palacio
648,11/04/2024,Pablo Mayoral
649,11/04/2024,Albert De Moya Palacio
650,05/04/2024,Pablo Mayoral
651,05/04/2024,Pablo Mayoral
652,05/04/2024,Pablo Mayoral
653,05/04/2024,Pablo Mayoral
654,05/04/2024,Pablo Mayoral
655,05/04/2024,Pablo Mayoral
