journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
100001061,2024,11,W191062,25/11/2024
100001062,2024,11,W191062,25/11/2024
100001063,2024,11,W191062,26/11/2024
100001064,2024,11,W191062,26/11/2024
100001065,2024,11,W191062,26/11/2024
100001066,2024,11,W106467,26/11/2024
100001067,2024,11,W191062,26/11/2024
100001068,2024,11,W191062,26/11/2024
100001069,2024,11,W191062,26/11/2024
100001070,2024,11,W191062,26/11/2024
100001071,2024,11,W191062,26/11/2024
100001072,2024,11,W191062,26/11/2024
100001073,2024,11,W191062,26/11/2024
100001074,2024,11,W191062,27/11/2024
100001075,2024,11,W191062,27/11/2024
100001095,2024,12,W191062,10/12/2024
100001101,2024,12,W122814,19/12/2024
100001102,2024,12,W122814,19/12/2024
100001103,2024,12,W122814,19/12/2024
100001104,2024,12,W122814,19/12/2024
100001105,2024,12,W122814,19/12/2024
100001106,2024,12,W122814,19/12/2024
100001107,2024,12,W122814,19/12/2024
100001108,2024,12,W191062,23/12/2024
100001109,2024,12,W191062,23/12/2024
100001110,2024,12,W191062,23/12/2024
100001111,2024,12,W191062,23/12/2024
100001113,2024,12,W191062,23/12/2024
100001114,2024,12,W191062,23/12/2024
100001115,2024,12,W191062,23/12/2024
100001116,2024,12,W191062,23/12/2024
100001130,2024,12,W191062,26/12/2024
100001131,2024,12,W191062,26/12/2024
100001132,2024,12,W191062,26/12/2024
100001133,2024,12,W191062,26/12/2024
100001134,2024,12,W191062,26/12/2024
100001135,2024,12,W191062,27/12/2024
100001136,2024,12,W191062,27/12/2024
100001137,2024,12,W139415,27/12/2024
100001140,2024,12,W191062,27/12/2024
100001142,2024,12,W191062,27/12/2024
100001143,2024,12,W191062,27/12/2024
100001144,2024,12,W191062,30/12/2024
100001145,2024,12,W191062,30/12/2024
100001146,2024,12,W191062,30/12/2024
100001147,2024,12,W191062,30/12/2024
100001148,2024,12,W191062,30/12/2024
100001149,2024,12,EXPLOIT$U,31/12/2024
100001151,2024,12,W139415,02/01/2025
100001152,2024,12,W194035,02/01/2025
100001154,2024,12,W191062,06/01/2025
1200000008,2024,1,W128794,31/01/2024
1200000009,2024,2,W128794,27/02/2024
1200000010,2024,3,W128794,26/03/2024
1200000011,2024,3,W128794,27/03/2024
1200000012,2024,4,W128794,25/04/2024
1200000013,2024,5,W191062,28/05/2024
1200000014,2024,6,W191062,26/06/2024
1200000015,2024,6,W191062,26/06/2024
1200000016,2024,7,W191062,27/07/2024
1400000039,2024,1,W111037,15/01/2024
1400000040,2024,1,W111037,19/01/2024
1400000041,2024,1,W111037,19/01/2024
1400000042,2024,1,W111037,23/01/2024
1400000043,2024,1,W111037,23/01/2024
1400000044,2024,2,W111037,08/02/2024
1400000045,2024,2,W111037,09/02/2024
1400000046,2024,2,W111037,12/02/2024
1400000047,2024,2,W111037,20/02/2024
1400000048,2024,3,W111037,11/03/2024
1400000049,2024,3,W111037,13/03/2024
1400000050,2024,3,W111037,22/03/2024
1400000051,2024,3,W111037,28/03/2024
1400000052,2024,3,W111037,29/03/2024
1400000053,2024,4,W111037,05/04/2024
1400000054,2024,4,W128794,16/04/2024
1400000055,2024,4,W111037,16/04/2024
1400000056,2024,4,W139415,23/04/2024
1400000057,2024,4,W139415,26/04/2024
1400000058,2024,5,W139415,07/05/2024
1400000059,2024,5,W139415,08/05/2024
1400000060,2024,5,W139415,09/05/2024
1400000061,2024,5,W139415,24/05/2024
1400000062,2024,5,W139415,27/05/2024
1400000063,2024,6,W139415,05/06/2024
1400000064,2024,6,W139415,07/06/2024
1400000065,2024,6,W139415,07/06/2024
1400000066,2024,6,W139415,10/06/2024
1400000067,2024,6,W139415,12/06/2024
1400000068,2024,6,W139415,17/06/2024
1400000069,2024,6,W139415,20/06/2024
1400000070,2024,6,W139415,20/06/2024
1400000071,2024,6,W139415,25/06/2024
1400000072,2024,6,W139415,25/06/2024
1400000073,2024,7,W139415,03/07/2024
1400000074,2024,7,W139415,12/07/2024
1400000075,2024,7,W111037,15/07/2024
1400000076,2024,7,W191062,15/07/2024
1400000077,2024,7,W139415,23/07/2024
1400000078,2024,7,W139415,26/07/2024
1400000079,2024,7,W139415,29/07/2024
1400000080,2024,7,W139415,29/07/2024
1400000081,2024,8,W139415,12/08/2024
1400000082,2024,8,W139415,16/08/2024
1400000083,2024,8,W139415,27/08/2024
1400000084,2024,8,W139415,02/09/2024
1400000085,2024,9,W139415,03/09/2024
1400000086,2024,9,W139415,12/09/2024
1400000087,2024,9,W139415,16/09/2024
1400000088,2024,9,W139415,16/09/2024
1400000089,2024,9,W194035,23/09/2024
1400000090,2024,9,W194035,26/09/2024
1400000091,2024,9,W139415,27/09/2024
1400000092,2024,10,W139415,11/10/2024
1400000093,2024,10,W194035,14/10/2024
1400000094,2024,10,W194035,15/10/2024
1400000095,2024,10,W139415,23/10/2024
1400000096,2024,10,W139415,23/10/2024
1400000097,2024,10,W194035,28/10/2024
1400000098,2024,10,W194035,30/10/2024
1400000099,2024,10,W194035,30/10/2024
1400000100,2024,11,W194035,06/11/2024
1400000101,2024,11,W194035,08/11/2024
1400000102,2024,12,W194035,06/12/2024
1400000103,2024,12,W194035,18/12/2024
1400000104,2024,12,W139415,23/12/2024
1400000105,2024,12,W139415,23/12/2024
1400000106,2024,12,W139415,24/12/2024
1400000107,2024,12,W194035,30/12/2024
1400000108,2024,12,W194035,30/12/2024
1500000080,2024,1,W128794,22/01/2024
1500000081,2024,1,W128794,22/01/2024
1500000082,2024,1,W128794,22/01/2024
1500000083,2024,1,W128794,30/01/2024
1500000084,2024,1,W128794,30/01/2024
1500000085,2024,2,W128794,19/02/2024
1500000086,2024,2,W128794,19/02/2024
1500000087,2024,2,W128794,27/02/2024
1500000088,2024,2,W128794,27/02/2024
1500000089,2024,3,W128794,20/03/2024
1500000090,2024,3,W128794,20/03/2024
1500000091,2024,3,W128794,26/03/2024
1500000092,2024,3,W128794,26/03/2024
1500000093,2024,3,W128794,26/03/2024
1500000094,2024,3,W128794,26/03/2024
1500000095,2024,4,W191062,19/04/2024
1500000096,2024,4,W191062,19/04/2024
1500000097,2024,4,W191062,30/04/2024
1500000098,2024,4,W191062,30/04/2024
1500000099,2024,5,W191062,24/05/2024
1500000100,2024,5,W191062,25/05/2024
1500000101,2024,5,W191062,29/05/2024
1500000102,2024,6,W191062,27/06/2024
1500000103,2024,6,W191062,01/07/2024
1500000104,2024,6,W191062,01/07/2024
1500000105,2024,7,W191062,15/07/2024
1500000106,2024,7,W191062,15/07/2024
1500000107,2024,8,W191062,29/08/2024
1500000108,2024,8,W191062,29/08/2024
1500000109,2024,8,W191062,29/08/2024
1500000110,2024,8,W191062,29/08/2024
1500000111,2024,9,W191062,23/09/2024
1500000112,2024,9,W191062,26/09/2024
1500000113,2024,9,W191062,26/09/2024
1500000114,2024,9,W191062,27/09/2024
1500000115,2024,9,W191062,27/09/2024
1500000116,2024,9,W191062,27/09/2024
1500000117,2024,10,W191062,08/10/2024
1500000118,2024,10,W191062,14/10/2024
1600000071,2024,1,W128794,25/01/2024
1600000072,2024,1,W128794,25/01/2024
1600000073,2024,1,W128794,25/01/2024
1600000074,2024,1,W128794,25/01/2024
1600000075,2024,1,W128794,25/01/2024
1600000076,2024,1,W128794,25/01/2024
1600000077,2024,1,W128794,25/01/2024
1600000078,2024,1,W128794,25/01/2024
1600000079,2024,1,W128794,25/01/2024
1600000080,2024,1,W128794,25/01/2024
