journal_entry_id,posting_date,fiscal_year,prepared_by,description
100709008.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709009.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709010.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709011.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709012.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709013.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709014.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709015.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709016.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709017.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709018.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709019.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709020.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709021.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709022.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709023.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709024.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709025.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709026.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709027.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709028.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709029.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709030.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709031.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709032.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709033.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709034.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709035.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709036.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709037.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709038.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709039.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709040.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709041.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709042.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709043.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709044.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709045.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709046.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709047.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709048.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709049.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709050.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709051.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709052.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709053.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709054.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709055.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709056.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709057.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709058.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709059.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709060.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709061.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709062.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709063.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709064.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709065.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709066.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709067.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709068.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709069.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709070.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709071.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709072.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709073.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709074.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709075.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709076.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709077.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709078.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
